爱不释手,àibùshìshǒu,can’t put it down
春晚,chūnwǎn,Spring Festival Gala
春运,chūnyùn,Spring Festival travel rush
出勤,chūqín,attendance
出任,chūrèn,assume the post of
出人头地,chūréntóudì,stand out / succeed
除夕,chúxī,Lunar New Year's Eve
刺激,cìjī,exciting /刺激
词库,cíkù,lexicon / word database
从容,cóngróng,calm
凑份子,còufènzi,chip in money
大便咖啡,dàbiànkāfēi,civet cat coffee
大单子,dàdānzi,big order
打断,dǎduàn,interrupt
答复,dáfù,reply / response
大富豪,dàfùháo,tycoon
大幅下跌,dàfúxiàdiē,plunge sharply
大亨,dàhēng,tycoon
大黄蜂,dàhuángfēng,bumblebee
大惑不解,dàhuòbùjiě,be very puzzled
打火机,dǎhuǒjī,lighter
代潮,dàicháo,generational tide
代潮头,dàicháotóu,at the forefront of the generational tide
代购,dàigòu,purchasing agent
代沟,dàigōu,generation gap
带孩子,dàiháizi,take care of children
待命,dàimìng,stand by
打击很大,dǎjīhěndà,a heavy blow / big setback
大集体,dàjítǐ,large collective
打卡地,dǎkǎdì,check-in spot / popular photo spot
大老远,dàlǎoyuǎn,from far away
大力度,dàlìdù,strong intensity / major effort
打领航,dǎlǐngháng,lead the way (colloquial)
单车,dānchē,bicycle
淡出,dànchū,fade out
单点失效,dāndiǎnshīxiào,single point of failure
当宝,dàngbǎo,treat as a treasure
当兵,dāngbīng,join the military
当家,dāngjiā,be in charge
挡住,dǎngzhù,block
大年三十,dàniánsānshí,Chinese New Year's Eve
淡季,dànjì,off-season
单击,dānjī,click
蛋酒,dànjiǔ,eggnog
单身狗,dānshēngǒu,single person (self-mocking slang)
耽误,dānwù,delay / hold up
盗版,dàobǎn,piracy
道场,dàochǎng,dojo / place for practice
导盲犬,dǎomángquǎn,guide dog
倒霉,dǎoméi,unlucky
到期,dàoqī,expire / reach the due date
倒是,dàoshì,on the contrary / actually
导致资源浪费,dǎozhìzīyuánlàngfèi,cause waste of resources
搭配,dāpèi,match / pair
大屏,dàpíng,large screen
大气层,dàqìcéng,atmosphere (layer)
大甩卖,dàshuǎimài,clearance sale
打烊,dǎyàng,close (a shop)
打烊,dǎyàng,close for business
打自己的脸,dǎzìjǐdeliǎn,slap one’s own face
得过且过,déguòqiěguò,just get by
等候,děnghòu,wait
灯火,dēnghuǒ,lights
得罪,dézuì,offend
电话那头,diànhuànàtóu,on the other end of the phone
点看,diǎnkàn,click to view
点了点头,diǎnlediǎntóu,nodded
典礼,diǎnlǐ,ceremony
电脑设备,diànnǎoshèbèi,computer equipment
电商,diànshāng,e-commerce
点头,diǎntóu,to nod
电源员工,diànyuányuángōng,power supply staff
电子狗,diànzǐgǒu,speed radar detector
电子琴,diànzǐqín,electronic keyboard
电子烟,diànzǐyān,vape
刁难,diāonàn,make things difficult
掉漆,diàoqī,paint peel
叠加,diéjiā,superimpose / stack
地瓜,dìguā,sweet potato
地接,dìjiē,local tour operator / ground handling
低空,dīkōng,low altitude
地雷,dìléi,landmine
地貌,dìmào,landform / terrain
顶板,dǐngbǎn,top panel
顶级,dǐngjí,top-quality
顶头上司,dǐngtóushàngsī,immediate boss
钉子户,dīngzihù,holdout household (refusing demolition)
的确,díquè,indeed
低碳,dītàn,low-carbon
丢死人,diūsǐrén,extremely embarrassing
地主之谊,dìzhǔzhīyì,hospitality of the host
笛子,dízi,flute
动漫,dòngmàn,anime
动脑,dòngnǎo,use one’s brain
动手,dòngshǒu,take action / start doing
动手术,dòngshǒushù,perform surgery
动作还原,dòngzuòhuányuán,action reenactment
兜风,dōufēng,go for a drive / ride for fun
端口,duānkǒu,port
短平快,duǎnpíngkuài,short
短语,duǎnyǔ,phrase
赌场,dǔchǎng,casino
赌城,dǔchéng,casino city (e.g. Vegas)
毒贩,dúfàn,drug dealer
对号入座,duìhàorùzuò,take it personally
度蜜月,dùmìyuè,go on honeymoon
顿饭,dùnfàn,a meal
多功,duōgōng,multi-function
多样化,duōyànghuà,diversification
多元,duōyuán,diverse
肚皮,dùpí,belly
肚脐,dùqí,navel
读书人,dúshūrén,scholar
肚子里的墨水,dùzilǐdemòshuǐ,learning / knowledge
额部功课,ébùgōngkè,forehead exercises / training (rare usage)
额度,édù,limit / quota
额度,édù,limit / quota
恶搞,ègǎo,parody / spoof
俄国,Éguó,Russia
恶化,èhuà,worsen
二话不说,èrhuàbùshuō,without saying a word
耳目一新,ěrmùyīxīn,refreshing / eye-opening
二头肌,èrtóujī,biceps
二战,èrzhàn,World War II
饿傻了,èshǎle,starving
额外,éwài,extra / additional
俄文,Éwén,Russian (language)
恶性,èxìng,vicious / malignant
恶作,èzuò,mischief / prank
发财,fācái,get rich
发愁,fāchóu,worry
发愁,fāchóu,to worry
发疯,fāfēng,go crazy
发红包,fāhóngbāo,send a red envelope (money gift)
发挥,fāhuī,bring into play
发家致富,fājiāzhìfù,get rich
罚款,fákuǎn,fine
发冷,fālěng,feel cold / shiver
阀门,fámén,valve
帆船,fānchuán,sailboat
反倒,fǎndào,on the contrary
放鞭炮,fàngbiānpào,setting off firecrackers
放贷款,fàngdàikuǎn,issue loans
放得下,fàngdexià,let go / be able to put aside
放风筝,fàngfēngzhēng,fly a kite
放过我吧,fàngguòwǒba,please let me go / spare me
防控,fángkòng,prevention and control
放疗,fàngliáo,radiotherapy
返工,fǎngōng,rework / redo
方位扩大,fāngwèikuòdà,expand scope / broaden positioning
仿造,fǎngzào,imitate / counterfeit
繁华,fánhuá,prosperous
反抗,fǎnkàng,resist
泛滥,fànlàn,run rampant / flood
范例,fànlì,model / example
翻拍电影,fānpāidiànyǐng,remake film
饭圈女孩,fànquānnǚhái,fandom girl
繁琐,fánsuǒ,tedious / complicated
范围以内,fànwéiyǐnèi,within the range
返乡,fǎnxiāng,return to hometown
繁衍,fányǎn,reproduce / propagate
反正,fǎnzhèng,anyway
发誓,fāshì,swear
法医,fǎyī,forensic doctor
发育,fāyù,develop
沸沸扬扬,fèifèiyángyáng,abuzz
飞机餐,fēijīcān,airplane meal
费口舌,fèikǒushé,waste words
飞快,fēikuài,very fast
费力,fèilì,effortful
非盟,FēiMéng,African Union
肥肉,féiròu,fatty meat
绯闻,fēiwén,scandal / rumor
废物,fèiwù,waste / good-for-nothing
废物,fèiwù,trash
非要,fēiyào,insist on
非也,fēiyě,not so (classical tone)
粉笔,fěnbǐ,chalk
风暴中心,fēngbàozhōngxīn,eye of the storm
丰富的工作经验,fēngfùdegōngzuòjīngyàn,abundant work experience
封关,fēngguān,close borders / customs shutdown
丰满,fēngmǎn,plump
疯抢,fēngqiǎng,panic buying
风生水起,fēngshēngshuǐqǐ,be thriving
风湿病,fēngshībìng,rheumatism
风土民情,fēngtǔmínqíng,local customs and practices
风味,fēngwèi,flavor
风险,fēngxiǎn,risky
风险挑战,fēngxiǎntiǎozhàn,risks and challenges
分季度看,fēnjìdùkàn,viewed by quarter
奋力,fènlì,strive vigorously
分裂,fēnliè,divide / split
分泌,fēnmì,secrete
坟墓,fénmù,grave
粉色,fěnsè,pink
分析,fēnxī,analysis
分享,fēnxiǎng,share (thoughts/feelings)
腹部,fùbù,abdomen
服从工作安排,fúcónggōngzuòānpái,follow work arrangements
附带条件,fùdàitiáojiàn,attached conditions
负担不起,fùdānbùqǐ,cannot afford (correct form)
妇道,fùdào,women’s virtue (traditional)
辅导,fǔdǎo,tutor / coach
付得起,fùdeqǐ,can afford
富二代,fùèrdài,second-generation rich
复古风格,fùgǔfēnggé,retro style
符合,fúhé,to meet / conform to
浮夸,fúkuā,exaggerated
付款码,fùkuǎnmǎ,payment QR code
服了你了,fúlenǐle,I give up on you / I’m impressed
福利,fúlì,welfare/benefits
福禄,fúlù,good fortune and prosperity
负面的事情,fùmiàndeshìqíng,negative things
赴约,fùyuē,keep an appointment
负责接单,fùzéjiēdān,responsible for receiving orders
副作用,fùzuòyòng,side effect
改过来,gǎiguòlái,correct / change
该死,gāisǐ,damn it
尴尬,gāngà,awkward / embarrassing
港片,gǎngpiàn,Hong Kong movies
岗位,gǎngwèi,job position
干涉,gānshè,interfere
赶走,gǎnzǒu,drive away
告,gào,sue
搞不可,gǎobùkě,not workable (likely 搞不成)
高档,gāodàng,high-end
搞懂,gǎodǒng,figure out
搞教育,gǎojiàoyù,doing business in education
高楼大厦,gāolóudàshà,high-rise buildings
高帅富,gāoshuàifù,tall-rich-handsome guy
搞笑,gǎoxiào,funny / comedic
歌词,gēcí,lyrics
给土豆削皮,gěitǔdòuxuēpí,peel potatoes (literal
隔开,gékāi,separate
更加,gèngjiā,even more
更胜一筹,gèngshèngyīchóu,even better
根深蒂固,gēnshēndìgù,deep-rooted
鸽派,gēpài,dovish faction
个人所得税,gèrénsuǒdéshuì,personal income tax
隔三差五,gésānchàwǔ,once in a while
格式化,géshìhuà,format
各有利弊,gèyǒulìbì,each has pros and cons
供读书,gōngdúshū,support someone’s education
攻击,gōngjī,attack
公家机构,gōngjiājīgòu,public institution
供给需求,gōngjǐxūqiú,supply and demand
公开赞扬,gōngkāizànyáng,praise publicly
功劳,gōngláo,credit
功利主义,gōnglìzhǔyì,utilitarianism
功能,gōngnéng,function
公平,gōngpíng,fair
共识机制,gòngshíjīzhì,consensus mechanism
贡献,gòngxiàn,contribution
工薪家庭,gōngxīnjiātíng,salaried family
公羊,gōngyáng,ram
弓字旁,gōngzìpáng,"the ""bow"" radical in Chinese characters"
诟病,gòubìng,criticize
构建,gòujiàn,build / construct
购买习惯,gòumǎixíguàn,buying habits
狗屁,gǒupì,crap / bullshit
狗屎,gǒushǐ,shit
狗仔队,gǒuzǎiduì,paparazzi
刮风,guāfēng,be windy
寡妇年,guǎfùnián,widow year (folk belief)
乖,guāi,well-behaved / obedient
怪力乱神,guàilìluànshén,supernatural phenomena
怪石,guàishí,strange rocks
观察,guānchá,to observe
官方,guānfāng,official
广泛应用,guǎngfànyìngyòng,be widely used
光顾,guānggù,patronize / visit (a shop)
光棍一条,guānggùnyītiáo,single person
关注,guānzhù,pay attention to
挂失,guàshī,report loss
固定资产,gùdìngzīchǎn,fixed assets
骨骼,gǔgé,skeleton / bones
故宫,Gùgōng,Forbidden City
规范,guīfàn,standardize
鬼混,guǐhùn,hang around aimlessly / mess around
规矩,guījǔ,rules
鬼迷心窍,guǐmíxīnqiào,be blinded by impulse
规模,guīmó,scale
规模扩大,guīmókuòdà,scale expansion
归谁,guīshéi,who it belongs to
规章解读,guīzhāngjiědú,interpretation of rules/regulations
估计,gūjì,estimate / probably
顾客是上帝,gùkèshìshàngdì,the customer is king
顾客至上,gùkèzhìshàng,customer first
过的苦,guòdekǔ,live a hard life / suffer
过分,guòfèn,went too far
国籍不限,guójíbùxiàn,nationality not restricted
过来人,guòláirén,experienced person
过马路,guòmǎlù,cross the street
国情,guóqíng,national conditions
过夜,guòyè,stay overnight
股权,gǔquán,equity
股市,gǔshì,stock market
鼓手,gǔshǒu,drummer
故意,gùyì,deliberately
雇佣,gùyōng,employment
固有,gùyǒu,inherent
古镇,gǔzhèn,ancient town
哈佛,hāfó,Harvard
害虫,hàichóng,pest
海归,hǎiguī,overseas returnee
海派,hǎipài,Shanghai-style
海湾,hǎiwān,bay / gulf
海洋公园,hǎiyánggōngyuán,ocean park
航班信息,hángbānxìnxī,flight information
行货,hánghuò,official goods
含胸,hánxiōng,hunch one’s chest
含羞,hánxiū,shy
毫不费力,háobùfèilì,without any effort
号称,hàochēng,claim to be
好当,hǎodāng,easy to be/do
好汉,hǎohàn,hero
豪华,háohuá,luxurious
好换,hǎohuàn,easy to exchange
号码牌,hàomǎpái,number tag / queue number
毫无头绪,háowútóuxù,no clue at all
好心态,hǎoxīntài,positive mindset
号子,hàozi,work chant
喝冰,hēbīng,drink something cold
合得来,hédelái,get along well
合个影,hégèyǐng,take a photo together
荷花,héhuā,lotus flower
黑板报,hēibǎnbào,blackboard bulletin
黑板报,hēibǎnbào,blackboard bulletin
黑道,hēidào,illegal business
黑洞,hēidòng,black hole
荷兰读书,hélándúshū,study in the Netherlands
恒牙,héngyá,permanent teeth
合约,héyuē,contract
哄,hǒng,bribe / coax
烘焙,hōngbèi,baking
红二代,hóngèrdài,second-generation revolutionary elite
宏观,hóngguān,macro / macroscopic
红外线,hóngwàixiàn,infrared
后果,hòuguǒ,consequence
后果,hòuguǒ,consequence
后妈,hòumā,stepmother
后视镜,hòushìjìng,rearview mirror
后天疾病,hòutiānjíbìng,acquired disease
厚颜无耻,hòuyánwúchǐ,shameless
后遗症,hòuyízhèng,aftereffect
话不投机,huàbùtóujī,not on the same wavelength
滑调,huádiào,slippery tone
化肥,huàféi,chemical fertilizer
淮海路,Huáihǎilù,Hua Hai Road (famous Shanghai street)
怀旧,huáijiù,nostalgic
怀孕,huáiyùn,pregnant
换班,huànbān,change shifts
换班,huànbān,change shifts
环保,huánbǎo,environmental protection
环岛,huándǎo,roundabout
晃晃危机,huànghuàngwēijī,shaky and dangerous / unstable crisis (slangy)
黄昏,huánghūn,dusk
荒郊,huāngjiāo,wilderness
黄牛,huángniú,ticket scalper
欢快,huānkuài,cheerful
换领导人,huànlǐngdǎorén,change leader
换尿布,huànniàobù,change a diaper
还愿,huányuàn,fulfill a vow
花瓶,huāpíng,flower vase / decorative figure
花钱不手软,huāqiánbùshǒuruǎn,spend money freely
花洒,huāsǎ,shower head
华盛顿,huáshèngdùn,Washington
花生米,huāshēngmǐ,peanuts
话说回来,huàshuōhuílái,that said
划算,huásuàn,good value
话题,huàtí,topic
化妆品,huàzhuāngpǐn,cosmetics
化作,huàzuò,turn into
蝴蝶结,húdiéjié,bow (ribbon)
互动,hùdòng,interaction
护肤面膜,hùfūmiànmó,facial mask
回报社会,huíbàoshèhuì,give back to society
恢复,huīfù,to recover / restore
回过神,huíguòshén,come back to one’s senses
贿赂,huìlù,bribe
晦气,huìqì,unlucky
忽冷忽热,hūlěnghūrè,hot and cold
互联网,hùliánwǎng,internet
混合授课,hùnhéshòukè,hybrid teaching
混日子,hùnrìzi,drift through life
混为一谈,hùnwéiyītán,confuse two things as one
混在一起,hùnzàiyīqǐ,mix together
或处处,huòchùchù,in various places (rare usage as written)
火箭,huǒjiàn,rocket
火警,huǒjǐng,fire department
活力,huólì,vitality
获取,huòqǔ,obtain
货物,huòwù,goods / cargo
忽然,hūrán,suddenly
胡说八道,húshuōbādào,nonsense
糊涂,hútu,confused
呼吁,hūyù,appeal / call for
胡子,húzi,beard
价格竞争,jiàgéjìngzhēng,price competition
加工,jiāgōng,manufacturing subcontractor
加工肉,jiāgōngròu,processed meat
家里那口子,jiālǐnàkǒuzi,my spouse (colloquial)
见多识广,jiànduōshíguǎng,knowledgeable
减法,jiǎnfǎ,subtraction
降火,jiànghuǒ,reduce internal heat
讲究,jiǎngjiù,be particular about
将来,jiānglái,in the future
僵尸,jiāngshī,zombie
见鬼,jiànguǐ,see a ghost
坚果,jiānguǒ,nuts
降雨,jiàngyǔ,rainfall
将在,jiāngzài,will be at / about to
健康有序发展,jiànkāngyǒuxùfāzhǎn,healthy and orderly development
监控,jiānkòng,monitor
键盘手,jiànpánshǒu,keyboardist
见仁见智,jiànrénjiànzhì,different people have different views
兼容性,jiānróngxìng,compatibility
尖锐,jiānruì,sharp
建设性,jiànshèxìng,constructive
兼职,jiānzhí,part-time job
尖子班,jiānzǐbān,top-achiever class
搅拌机,jiǎobànjī,blender / mixer
焦点,jiāodiǎn,focus
较2024年,jiàoèrlíngèrsìnián,compared with 2024
交互,jiāohù,interaction
焦急未露,jiāojíwèilù,anxious but not showing it
焦虑,jiāolǜ,anxiety
焦虑,jiāolǜ,anxiety
娇生惯养,jiāoshēngguànyǎng,overindulge in raising (a child)
缴税,jiǎoshuì,pay taxes
教堂,jiàotáng,church
交往,jiāowǎng,be in a relationship
较为,jiàowéi,relatively
加上,jiāshàng,plus / in addition
加糖,jiātáng,add sugar
家庭暴力,jiātíngbàolì,domestic violence
家庭主妇,jiātíngzhǔfù,housewife
家务,jiāwù,chores
家乡,jiāxiāng,hometown
加薪,jiāxīn,get a raise
价值,jiàzhí,value
基本上,jīběnshàng,basically
基础,jīchǔ,foundation
季度,jìdù,quarter (year)
结肠癌,jiéchángái,colon cancer
解除合同,jiěchúhétóng,terminate a contract
接到投诉,jiēdàotóusù,receive a complaint
阶段,jiēduàn,stage / phase
解雇员工,jiěgùyuángōng,lay off employee
借口,jièkǒu,excuse
接纳,jiēnà,accept
节拍,jiépāi,beat / rhythm
解剖,jiěpōu,dissect
解释,jiěshì,explain
接替,jiētì,take over
界限,jièxiàn,boundary / limit
结账,jiézhàng,pay the bill
截止,jiézhǐ,deadline
节奏感,jiézòugǎn,sense of rhythm
机会多好,jīhuìduōhǎo,what a great opportunity
几乎为零,jīhūwéilíng,almost zero
极简,jíjiǎn,minimalist
基金会,jījīnhuì,foundation (organization)
激烈,jīliè,fierce
纪录片,jìlùpiàn,documentary
仅,jǐn,only
进步空间,jìnbùkōngjiān,room for improvement
景点,jǐngdiǎn,scenic spot / tourist attraction
经典,jīngdiǎn,classic
经典,jīngdiǎn,classic
井底之蛙,jǐngdǐzhīwā,a frog in a well (narrow-minded person)
镜架,jìngjià,glasses frame
井井有条,jǐngjǐngyǒutiáo,orderly
精良,jīngliáng,excellent
精神抖擞,jīngshéndǒusǒu,full of energy
精神抖擞,jīngshéndǒusǒu,full of energy
精通,jīngtōng,be proficient in
精细,jīngxì,detailed (handwork)
惊醒,jīngxǐng,wake up startled
精蓄不高,jīngxùbùgāo,low sperm count
惊讶,jīngyà,surprised
鲸鱼,jīngyú,whale
金句王,jīnjùwáng,king of catchy quotes
尽力而为,jìnlìérwéi,do one’s best
金牛座,Jīnniúzuò,Taurus
金融风暴,jīnróngfēngbào,financial crisis
金融中心,jīnróngzhōngxīn,financial center
禁言,jìnyán,mute / ban from speaking
鸡皮疙瘩,jīpígēda,goosebumps
鸡皮疙瘩,jīpígēda,goosebumps
机器的序列号,jīqìdexùlièhào,machine serial number
机器人,jīqìrén,robot
积水,jīshuǐ,water accumulation
积水,jīshuǐ,water accumulation
集体学习,jítǐxuéxí,collective study
纠纷,jiūfēn,dispute
绩效评估,jìxiàopínggū,KPI
记性很不精明,jìxìnghěnbùjīngmíng,have a poor memory
激扬如意,jīyángrúyì,stirring and uplifting (literary
记者,jìzhě,reporter
举办,jǔbàn,hold (an event)
具备,jùbèi,possess
绝大多数,juédàduōshù,the vast majority
绝大多数,juédàduōshù,the vast majority
聚焦,jùjiāo,focus on
军队,jūnduì,army
军力,jūnlì,military strength
据说,jùshuō,it is said
据悉,jùxī,it is reported
举重,jǔzhòng,weightlifting
咖啡渣,kāfēizhā,coffee grounds
开采,kāicǎi,extract
开导,kāidǎo,enlighten
开导启发,kāidǎoqǐfā,enlighten / guide
开发卖家,kāifāmàijiā,develop sellers (e-commerce)
开机,kāijī,power on / boot up
开朗,kāilǎng,cheerful
开篇,kāipiān,opening (of an article/book)
开天辟地,kāitiānpìdì,world-shattering
开通市场,kāitōngshìchǎng,open/expand a market
开心果,kāixīnguǒ,pistachio
开眼,kāiyǎn,open one's eyes / eye-opening
开夜车,kāiyèchē,stay up late working or studying
看不顺眼,kànbúshùnyǎn,dislike someone/something
刊登,kāndēng,publish
康复原,kāngfùyuán,rehabilitation center (likely 康复院)
抗衡,kànghéng,contend with / counterbalance
慷慨,kāngkǎi,generous
抗议,kàngyì,protest
抗议,kàngyì,protest
看下来,kànxiàlái,review and see
看走眼,kànzǒuyǎn,misjudge
拷贝,kǎobèi,copy
考虑的周到,kǎolǜdezhōudào,considerate
卡走,kǎzǒu,swipe away / take by card
课代表,kèdàibiǎo,class representative
可读性,kědúxìng,readability
可负担,kěfùdān,affordable
客户,kèhù,clients
科幻电影,kēhuàndiànyǐng,science fiction movie
客户端,kèhùduān,client-side / client app
客户管理,kèhùguǎnlǐ,customer management
科技迷,kējìmí,tech fan / tech enthusiast
可靠性,kěkàoxìng,reliability
克拉,kèlā,carat
可怜,kělián,pitiful
刻录,kèlù,burn (a CD/DVD)
克罗地亚,Kèluódìyà,Croatia
客套,kètào,polite remarks / courtesy
客套话,kètàohuà,polite remark
可恶,kěwù,detestable / annoying
空荡荡,kōngdàngdàng,empty
恐吓信,kǒnghèxìn,threatening letter
恐慌心理,kǒnghuāngxīnlǐ,panic mentality
空间,kōngjiān,space
孔雀,kǒngquè,peacock
口才,kǒucái,eloquence
口感,kǒugǎn,texture (of food)
抠门,kōumén,stingy
口腔,kǒuqiāng,oral cavity
夸大,kuādà,exaggerate
夸大事实,kuādàshìshí,exaggerate the facts
跨国公司,kuàguógōngsī,multinational company
跨国企业,kuàguóqǐyè,multinational corporation
快捷,kuàijié,fast / efficient
快艇,kuàitǐng,speedboat
宽带,kuāndài,broadband
宽松,kuānsōng,relaxed/lenient
亏钱,kuīqián,to lose money (in a business)
亏损,kuīsǔn,loss / deficit
苦尽甘来,kǔjìngānlái,bitterness gives way to sweetness
困死了,kùnsǐle,extremely sleepy
哭丧,kūsāng,wail at a funeral / look gloomy
哭天抢地,kūtiānqiǎngdì,wail bitterly
枯燥,kūzào,boring / dull
拉出来,lāchūlái,poop out
来补一下,láibǔyíxià,come and make up for it
来华,láihuá,come to China
来路,láilù,origin
来路不明的钱,láilùbùmíngdeqián,ill-gotten money
来真的,láizhēnde,be serious / mean it
来真的,láizhēnde,be serious / mean it
来自,láizì,come from
拉力赛,lālìsài,rally race
缆车,lǎnchē,cable car
浪漫派,làngmànpài,Romanticism (music/art)
榔头,lángtou,hammer
狼烟四起,lángyānsìqǐ,beacon fires lit everywhere
拦截,lánjié,intercept
